email,team,groups,password
jane.doe,Database Admin,DBA,ChangeMe123456!
michael.scott,Network Admin,NetworkAdmin,ChangeMe123456!
barbara.brown,Cloud Architect,CloudAdmin,ChangeMe123456!
brian.garcia,Linux Admin,LinuxAdmin,ChangeMe123456!
philip.jack,Database Admin,DBA,ChangeMe123456!
angelino.marinho,Database Admin,DBA,ChangeMe123456!
arachane.dinis,Database Admin,DBA,ChangeMe123456!
armando.pirassununga,Database Admin,DBA,ChangeMe123456!
astolfo.cerveira,Database Admin,DBA,ChangeMe123456!
augusta.gusmao,Database Admin,DBA,ChangeMe123456!
boaventura.trindade,Database Admin,DBA,ChangeMe123456!
bras.vides,Database Admin,DBA,ChangeMe123456!
bruna.muniz,Database Admin,DBA,ChangeMe123456!
capitolina.garrido,Database Admin,DBA,ChangeMe123456!
carina.salles,Database Admin,DBA,ChangeMe123456!
caua.setubal,Database Admin,DBA,ChangeMe123456!
celeste.moreira,Database Admin,DBA,ChangeMe123456!
celso.torres,Database Admin,DBA,ChangeMe123456!
cesar.matos,Linux Admin,LinuxAdmin,ChangeMe123456!
cleiton.frois,Database Admin,DBA,ChangeMe123456!
cristiana.dornelles,Database Admin,DBA,ChangeMe123456!
debora.ferreyra,Linux Admin,LinuxAdmin,ChangeMe123456!
deolindo.ourique,Linux Admin,LinuxAdmin,ChangeMe123456!
diamantino.raposo,Linux Admin,LinuxAdmin,ChangeMe123456!
donato.gama,Linux Admin,LinuxAdmin,ChangeMe123456!
doroteia.robalo,Linux Admin,LinuxAdmin,ChangeMe123456!
egas.malta,Linux Admin,LinuxAdmin,ChangeMe123456!
emiliana.bicudo,Linux Admin,LinuxAdmin,ChangeMe123456!
esperanca.carrasco,Linux Admin,LinuxAdmin,ChangeMe123456!
eudes.bogado,Linux Admin,LinuxAdmin,ChangeMe123456!
fausto.doutel,Linux Admin,LinuxAdmin,ChangeMe123456!
filipa.holanda,Linux Admin,LinuxAdmin,ChangeMe123456!
filipe.henriques,Linux Admin,LinuxAdmin,ChangeMe123456!
gil.pinhal,Linux Admin,LinuxAdmin,ChangeMe123456!
gilda.maior,Linux Admin,LinuxAdmin,ChangeMe123456!
